reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49.0,60.0,89.0,0,0,0,t,17.77226762300006,None,0,0,0,4,0.12320229399983873,,0.11351470099998551,0.12320229399983873,1.0144359219998478,1.0144359219998478,1.1339787399997476,18.81779640800005,t,17.77226762300006,None,392674,001,2024-11-21_16h11.20.207,delay discounting,2024.2.1,None,2024-11-21 16h11.31.918210 +0530,
40.0,55.0,62.0,1,1,0,t,2.4444036320001032,None,0,1,1,3,18.85910271099965,,18.8389416,18.85910271099965,19.82307141199999,19.82307141199999,19.858256831999824,22.275184660999912,t,2.4444036320001032,None,392674,001,2024-11-21_16h11.20.207,delay discounting,2024.2.1,None,2024-11-21 16h11.31.918210 +0530,
27.0,50.0,21.0,2,2,0,t,1.0775609810002607,None,0,2,2,2,22.29418491899969,,22.283412375999887,22.29418491899969,23.28368868000007,23.28368868000007,23.301730958000007,24.37928209799975,t,1.0775609810002607,None,392674,001,2024-11-21_16h11.20.207,delay discounting,2024.2.1,None,2024-11-21 16h11.31.918210 +0530,
78.0,80.0,162.0,3,3,0,l,1.0659315420002713,None,0,3,3,6,24.392685180999706,,24.383454339999844,24.392685180999706,25.38860107699975,25.38860107699975,25.402706040999874,26.479332023999632,l,1.0659315420002713,None,392674,001,2024-11-21_16h11.20.207,delay discounting,2024.2.1,None,2024-11-21 16h11.31.918210 +0530,
67.0,75.0,119.0,4,4,0,l,0.902718281000034,None,0,4,4,5,26.496652857999834,,26.484184515999914,26.496652857999834,27.48977015499986,27.48977015499986,27.506624755999837,28.397464552999736,l,0.902718281000034,None,392674,001,2024-11-21_16h11.20.207,delay discounting,2024.2.1,None,2024-11-21 16h11.31.918210 +0530,
11.0,30.0,7.0,5,5,0,t,1.3245296889999736,None,0,5,5,0,28.412325323000005,,28.404733873999703,28.412325323000005,29.403479757999776,29.403479757999776,29.41819501200007,30.73605123599964,t,1.3245296889999736,None,392674,001,2024-11-21_16h11.20.207,delay discounting,2024.2.1,None,2024-11-21 16h11.31.918210 +0530,
15.0,35.0,13.0,6,6,0,t,1.504950509000082,None,0,6,6,1,30.752229052000075,,30.741303390999747,30.752229052000075,31.737950961000024,31.737950961000024,31.751931645999775,33.26415305699993,t,1.504950509000082,None,392674,001,2024-11-21_16h11.20.207,delay discounting,2024.2.1,None,2024-11-21 16h11.31.918210 +0530,
