52.6916 	INFO 	Loaded monitor calibration from ['2024_08_09 11:23']
52.7037 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
53.0169 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x138a42f20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x138a42f80>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x138a43130>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x138a04130>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
53.0170 	EXP 	window1: backgroundImage = ''
53.0170 	EXP 	window1: backgroundFit = 'none'
53.0173 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.0175 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.0221 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.0231 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.0810 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.0812 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.0822 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.0831 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x138a42e00>
53.1012 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
53.1013 	EXP 	window1: recordFrameIntervals = False
53.4274 	EXP 	window1: recordFrameIntervals = True
53.6167 	EXP 	Screen (0) actual frame rate measured at 58.76Hz
53.6169 	EXP 	window1: recordFrameIntervals = False
