WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,welcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,BlankScreen.stopped,Instructions.started,textinstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,BlankScreen_2.started,Blank.started,BlankScreen_2.stopped,Y_N_Screen.started,textY_N_Screen.started,keyY_N.started,Y_N_Screen.stopped,keyY_N.keys,keyY_N.rt,keyY_N.duration,textBlank.stopped,TextTrials.started,textTestTrials.started,key_resp.started,TextTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.018579452999972546,0.040929460999961975,0.040929460999961975,4.1009750529999565,space,4.046600241999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,4.101055310999982,4.115534482999976,4.607301974999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.607507534999968,4.6215379029999895,4.6215379029999895,14.698413998999968,space,10.062626117999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
psychology,red,0,0,0,,,,0,0,0,3,,,,,14.731043019999959,,,,,,,,,15.71266680399998,15.726087727999982,16.20449524999998,,,,,,,,14.717178316999991,14.731043019999959,15.712442125999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
croissant,red,1,1,0,,,,0,1,1,4,,,,,16.222935639999946,,,,,,,,,17.22358799799997,17.241761811999993,17.710365225999965,,,,,,,,16.211040185,16.222935639999946,17.223540850999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
excitement,blue,2,2,0,,,,0,2,2,2,,,,,17.729209957999956,,,,,,,,,18.71041163999996,18.720882528999994,19.207666663999987,,,,,,,,17.71531138499995,17.729209957999956,18.710351488999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
sad,blue,3,3,0,,,,0,3,3,1,,,,,19.224638770999945,,,,,,,,,20.202642500999957,20.214411735999988,20.700891859999956,,,,,,,,19.211843072999955,19.224638770999945,20.202505890999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
anxiety,blue,4,4,0,,,,0,4,4,0,,,,,20.71779935899997,,,,,,,,,21.709888643,21.72152708799996,22.207437126000002,,,,,,,,20.706726049999986,20.71779935899997,21.709753620999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
bottle,red,5,5,0,,,,0,5,5,5,,,,,22.224520635999966,,,,,,,,,23.211222577,23.220832624999957,23.70861963599998,,,,,,,,22.213594401999956,22.224520635999966,23.21117958299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.708766760999993,23.719851630999983,23.719851630999983,27.83118449,1,4.092874197000015,None,,,,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.83125649699997,27.841725322000002,28.335762108999972,,,,,,,,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.335945589999994,28.362099354999998,28.362099354999998,36.36109381499995,space,7.9800611410000215,None,,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,36.36120337899996,36.37541705499996,36.862864774,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.887009680999995,,,,,,,,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
