WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,welcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,BlankScreen.stopped,Instructions.started,textinstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,BlankScreen_2.started,Blank.started,BlankScreen_2.stopped,Y_N_Screen.started,textY_N_Screen.started,keyY_N.started,Y_N_Screen.stopped,keyY_N.keys,keyY_N.rt,keyY_N.duration,textBlank.stopped,TextTrials.started,textTestTrials.started,key_resp.started,TextTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
couch,None,0,0,0,n,1.317905106000012,None,,,,,0,0,0,6,36.887009680999995,,,,,,,,,38.223054942999966,38.238929635999966,38.729806363999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.876106521999986,36.887009680999995,36.887009680999995,38.22290183199999,n,1.317905106000012,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
depression,None,1,1,0,n,0.9373370939999859,None,,,,,0,1,1,10,38.746019380999996,,,,,,,,,39.690595444999985,39.70287348699998,40.191254654999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.20627180699995,38.735838398,38.746019380999996,38.746019380999996,39.69050741799998,n,0.9373370939999859,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
croissant,red,2,2,0,y,1.531387886999994,None,,,,,0,2,2,4,40.20627180699995,,,,,,,,,41.74884046699998,41.76076653299998,42.26180066999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.194833372999994,40.20627180699995,40.20627180699995,41.74875145799996,y,1.531387886999994,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
fascinated,None,3,3,0,n,0.7047469070000147,None,,,,,0,3,3,9,42.279276503999995,,,,,,,,,42.98749361499995,43.000576886999966,43.489888958999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.50290770799995,42.26588287499999,42.279276503999995,42.279276503999995,42.98734204899995,n,0.7047469070000147,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
excitement,blue,4,4,0,n,0.818977627000038,None,,,,,0,4,4,2,43.50290770799995,,,,,,,,,44.32762026099999,44.339685556999996,44.830390008999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.49304271,43.50290770799995,43.50290770799995,44.327528290999965,n,0.818977627000038,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
television,None,5,5,0,n,0.8717974690000005,None,,,,,0,5,5,8,44.847254212999985,,,,,,,,,45.72298041299996,45.73511523399998,46.221217997,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.23484906799996,44.837289202999955,44.847254212999985,44.847254212999985,45.72288840699997,n,0.8717974690000005,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
sad,blue,6,6,0,y,0.7133459899999934,None,,,,,0,6,6,1,46.23484906799996,,,,,,,,,46.95529635599996,46.967724971999985,47.45959550799995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22437278299998,46.23484906799996,46.23484906799996,46.95520473199997,y,0.7133459899999934,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
psychology,red,7,7,0,n,1.102901370999973,None,,,,,0,7,7,3,47.47620103099996,,,,,,,,,48.590557305999994,48.60338587299998,49.090120042999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.104579541999954,47.46543223699996,47.47620103099996,47.47620103099996,48.590395951999994,n,1.102901370999973,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
keyboard,None,8,8,0,n,1.125323757999979,None,,,,,0,8,8,7,49.104579541999954,,,,,,,,,50.24367493999995,50.255776147999995,50.746256707999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.09470359199997,49.104579541999954,49.104579541999954,50.243581920999986,n,1.125323757999979,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
anxiety,blue,9,9,0,y,0.7280277599999749,None,,,,,0,9,9,0,50.763373050999974,,,,,,,,,51.497239315,51.51061900799999,51.99810040999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.75236997799999,50.763373050999974,50.763373050999974,51.49715107399999,y,0.7280277599999749,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
bottle,red,10,10,0,y,0.9549589860000083,None,,,,,0,10,10,5,52.013967581999964,,,,,,,,,52.98031450499997,52.99283743999996,53.487699792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.003865636,52.013967581999964,52.013967581999964,52.98001884299998,y,0.9549589860000083,None,,,,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.48809560699999,53.50064919299996,58.492076177,4,001,2024-12-06_17h04.09.866,short term memory,2024.2.1,62.21581139441856,2024-12-06 17h06.06.241612 +0530,
