46.0444 	INFO 	Loaded monitor calibration from ['2024_08_09 11:23']
53.5807 	EXP 	Created textBlank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textBlank', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
53.5808 	EXP 	window1: mouseVisible = False
53.5867 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0442 	INFO 	Keyboard events cleared
0.0423 	EXP 	welcome: autoDraw = True
2.8528 	DATA 	Keypress: space
2.8663 	EXP 	welcome: autoDraw = False
2.8663 	EXP 	textBlank: autoDraw = True
3.3559 	INFO 	Keyboard events cleared
3.3538 	EXP 	textBlank: autoDraw = False
3.3538 	EXP 	textinstructions: autoDraw = True
7.6710 	EXP 	Imported /Users/shrutigupta/Downloads/Word_stimuli.xlsx as conditions, 6 conditions, 2 params
7.6759 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'WordItem': 'bottle', 'WordColor': 'red', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
7.6831 	DATA 	Keypress: space
7.6920 	EXP 	textinstructions: autoDraw = False
7.6920 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: red, alpha=1.0>
7.6920 	EXP 	textStudyTrials: height = 0.05
7.6920 	EXP 	textStudyTrials: height = 0.05
7.6920 	EXP 	textStudyTrials: height = 0.05
7.6920 	EXP 	textStudyTrials: text = 'bottle'
