pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,47,3,11,z,1,0.6741685910001252,None,11,3,47,3,,,,,148.0028959820006,,147.99203405900016,148.0028959820006,148.9918570470004,148.9918570470004,148.9918570470004,148.9918570470004,149.0060962450002,149.99688063999974,149.99688063999974,150.685471237,z,1,0.6741685910001252,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,0,0,0,v,1,2.048971580000398,None,,,,,0,0,0,1,150.70660230600015,,150.69559429399987,150.70660230600015,151.68967917600048,151.68967917600048,151.68967917600048,151.68967917600048,151.70262290900018,152.68587668700047,152.68587668700047,154.74124684400022,,,,,v,1,2.048971580000398,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,1,1,0,x,1,0.7656979989997126,None,,,,,0,1,1,0,154.7527292260006,,154.74173416999975,154.7527292260006,155.73832883400019,155.73832883400019,155.73832883400019,155.73832883400019,155.75165248300027,156.74980654100045,156.74980654100045,157.52090671999986,,,,,x,1,0.7656979989997126,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,2,2,1,v,1,5.346271286999581,None,,,,,1,2,2,1,157.53204460500046,,157.52131891399995,157.53204460500046,158.5234567550001,158.5234567550001,158.5234567550001,158.5234567550001,158.53645408500006,159.52591780100056,159.52591780100056,164.8836814250003,,,,,v,1,5.346271286999581,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,3,3,0,c,1,8.334743225999773,None,,,,,0,3,3,2,164.89616938500012,,164.88407377800058,164.89616938500012,165.88637558500022,165.88637558500022,165.88637558500022,165.88637558500022,165.90035397700058,166.8895007699998,166.8895007699998,175.2418425310002,,,,,c,1,8.334743225999773,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,4,4,1,x,1,2.287003931000072,None,,,,,1,4,4,0,175.2531950280004,,175.24234798299995,175.2531950280004,176.24341477000007,176.24341477000007,176.24341477000007,176.24341477000007,176.2573059600004,177.248215524,177.248215524,179.54371489899995,,,,,x,1,2.287003931000072,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,5,5,0,z,1,1.6464227989999927,None,,,,,0,5,5,3,179.55527439299976,,179.54419311300035,179.55527439299976,180.55260181200038,180.55260181200038,180.55260181200038,180.55260181200038,180.55260181200038,181.5439054680005,181.5439054680005,183.19967273400061,,,,,z,1,1.6464227989999927,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,6,6,1,z,1,3.2928636939996068,None,,,,,1,6,6,3,183.21084429200027,,183.20008890800045,183.21084429200027,184.2019762599998,184.2019762599998,184.2019762599998,184.2019762599998,184.21549774799996,185.19681454200008,185.19681454200008,188.50106653400007,,,,,z,1,3.2928636939996068,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,7,7,1,c,1,2.311679183000706,None,,,,,1,7,7,2,188.51710618400057,,188.501438668,188.51710618400057,189.50140442800011,189.50140442800011,189.50140442800011,189.50140442800011,189.5148622669999,190.49892243500062,190.49892243500062,192.82720282000037,,,,,c,1,2.311679183000706,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,8,8,2,c,1,0.8006144959999801,None,,,,,2,8,8,2,192.8398459590003,,192.82757702800018,192.8398459590003,193.8266963330002,193.8266963330002,193.8266963330002,193.8266963330002,193.84072233000052,194.83206982900037,194.83206982900037,195.635467523,,,,,c,1,0.8006144959999801,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,9,9,2,v,1,2.258830769999804,None,,,,,2,9,9,1,195.64672940599985,,195.63593684499983,195.64672940599985,196.64242474699995,196.64242474699995,196.64242474699995,196.64242474699995,196.65706924899996,197.6438809590004,197.6438809590004,199.91057900199985,,,,,v,1,2.258830769999804,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,10,10,3,v,1,2.261443067000073,None,,,,,3,10,10,1,199.92300815200042,,199.91095692099998,199.92300815200042,200.91132760899973,200.91132760899973,200.91132760899973,200.91132760899973,200.92519528799994,201.90849469100021,201.90849469100021,204.1752791009999,,,,,v,1,2.261443067000073,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,11,11,3,c,1,0.7136927629999263,None,,,,,3,11,11,2,204.187144901,,204.1757752160006,204.187144901,205.1739572020001,205.1739572020001,205.1739572020001,205.1739572020001,205.1879815289999,206.17716353900005,206.17716353900005,206.89684219499986,,,,,c,1,0.7136927629999263,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,12,12,2,z,1,0.7880487950005772,None,,,,,2,12,12,3,206.90844912200055,,206.89751821300024,206.90844912200055,207.8955078290005,207.8955078290005,207.8955078290005,207.8955078290005,207.90929834400004,208.8957090580002,208.8957090580002,209.69893825500048,,,,,z,1,0.7880487950005772,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,13,13,4,v,1,0.8156760620004206,None,,,,,4,13,13,1,209.71155998899985,,209.6994922959998,209.71155998899985,210.70375544700028,210.70375544700028,210.70375544700028,210.70375544700028,210.71670663800023,211.6990199830002,211.6990199830002,212.51900074000014,,,,,v,1,0.8156760620004206,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,14,14,3,z,1,0.7379260620000423,None,,,,,3,14,14,3,212.5306643050003,,212.51944707699977,212.5306643050003,213.52272157300058,213.52272157300058,213.52272157300058,213.52272157300058,213.53545207900015,214.5310763399998,214.5310763399998,215.2846220160004,,,,,z,1,0.7379260620000423,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,15,15,2,x,1,0.7951446079996458,None,,,,,2,15,15,0,215.2955777379998,,215.28499704399974,215.2955777379998,216.29168441000047,216.29168441000047,216.29168441000047,216.29168441000047,216.30605022999998,217.2891457010005,217.2891457010005,218.0881324120005,,,,,x,1,0.7951446079996458,None,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
