delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000.0,unexp,30,0,3,space,0.4427914159999773,None,50,1,[1.547056408000003],[1.5470689669999729],3,0,30,1,317.15602087699995,,317.14329475499994,317.15602087699995,318.143711272,318.143711272,318.16152142,318.59018936300004,space,0.4427914159999773,None,318.591130537,318.9928358126666,319.31358520899994,319.28796062799995,319.28869691599994,319.31358520899994,319.31358520899994,319.31358520899994,320.86221036999996,50,1,[1.547056408000003],[1.5470689669999729],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,1000.0,unexp,31,1,3,space,0.7695329179999817,None,60,1,[2.0874944180000057],[2.087513890000082],3,1,31,2,320.876038377,,320.86270958299997,320.876038377,321.87680239299993,321.87680239299993,321.89274877799994,322.65462602900004,space,0.7695329179999817,None,322.65553125400004,323.3578144766666,323.68033202799995,323.65225864699994,323.65313212800004,323.68033202799995,323.68033202799995,323.68033202799995,325.769435221,60,1,[2.0874944180000057],[2.087513890000082],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,32,2,3,space,0.38722211100002824,None,55,1,[2.3787867629999937],[2.378798415999995],3,2,32,5,325.782784192,,325.76987358199995,325.782784192,326.777146679,326.777146679,326.79375854399996,327.17161343600003,space,0.38722211100002824,None,327.17236603000003,327.8740869326666,328.193266184,328.16999529400005,328.17077301300003,328.193266184,328.193266184,328.193266184,330.57309892700005,55,1,[2.3787867629999937],[2.378798415999995],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,33,3,3,space,0.2693802070000402,None,40,1,[1.7704299160000119],[1.7704403060000686],3,3,33,3,330.58689860799996,,330.57368403099997,330.58689860799996,331.578018392,331.578018392,331.594389559,331.855093862,space,0.2693802070000402,None,331.85593037900003,331.95656916866665,332.28248140200003,332.25318827699994,332.25431497700004,332.28248140200003,332.28248140200003,332.28248140200003,334.05438807099995,40,1,[1.7704299160000119],[1.7704403060000686],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,34,4,3,space,1.3583897329999672,None,500,1,[1.2480255540000371],[1.2480431600000657],3,4,34,8,334.06757396800003,,334.054775714,334.06757396800003,335.060335334,335.060335334,335.07976651,336.427150727,space,1.3583897329999672,None,336.428126359,337.14415956566665,337.47559571,337.444565733,337.445526977,337.47559571,337.47559571,337.47559571,338.726077184,500,1,[1.2480255540000371],[1.2480431600000657],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,35,5,3,space,0.3731341999999813,None,600,1,[1.6630995870000334],[1.6631118629999264],3,5,35,0,338.739552034,,338.726473866,338.739552034,339.73311852099994,339.73311852099994,339.75995927099996,340.127120407,space,0.3731341999999813,None,340.12791455,340.2279422396666,340.559651001,340.535387065,340.536310071,340.559651001,340.559651001,340.559651001,342.225221216,600,1,[1.6630995870000334],[1.6631118629999264],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,400.0,exp,36,6,3,space,0.06148701299991899,None,300,1,[2.056416624999997],[2.0564325110000254],3,6,36,7,342.238202581,,342.22554342499996,342.238202581,343.22667625299994,343.22667625299994,343.242354095,343.30482706299995,space,0.06148701299991899,None,343.305720725,343.7122980226667,344.04382238200003,344.020594836,344.02136184200003,344.04382238200003,344.04382238200003,344.04382238200003,346.10191723699995,300,1,[2.056416624999997],[2.0564325110000254],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,37,7,3,space,0.32349146399997153,None,400,1,[1.3097002869999415],[1.3097103259999585],3,7,37,6,346.116095857,,346.102543898,346.116095857,347.10955517499997,347.10955517499997,347.128895814,347.439563656,space,0.32349146399997153,None,347.440580793,347.5397779806666,347.863019098,347.837543856,347.838482861,347.863019098,347.863019098,347.863019098,349.17406179499994,400,1,[1.3097002869999415],[1.3097103259999585],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,38,8,3,space,0.25091098100006093,None,500,1,[1.547098758000061],[1.5471185300000343],3,8,38,4,349.18683039099994,,349.174365501,349.18683039099994,350.17968728200003,350.17968728200003,350.19560152500003,350.43857283700004,space,0.25091098100006093,None,350.439292066,350.8430700816666,351.15986736699995,351.13591283899996,351.13678006299995,351.15986736699995,351.15986736699995,351.15986736699995,352.70947459399997,500,1,[1.547098758000061],[1.5471185300000343],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,39,9,3,space,0.44911479400002463,None,400,1,[1.6362857230000145],[1.6363025179999795],3,9,39,9,352.72368221399995,,352.70984288600005,352.72368221399995,353.72608497,353.72608497,353.72608497,354.186546046,space,0.44911479400002463,None,354.18723534899993,354.30475712066664,354.63011339599996,354.60198581,354.603070852,354.63011339599996,354.63011339599996,354.63011339599996,356.268339858,400,1,[1.6362857230000145],[1.6363025179999795],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,400.0,exp,40,0,4,space,2.2874739950000276,None,400,1,[3.0585297249999712],[3.0585469970000077],4,0,40,7,356.281982179,,356.26884939900003,356.281982179,357.275624234,357.275624234,357.292378825,359.572473519,space,2.2874739950000276,None,359.57339496299994,359.9748273116667,360.293511038,360.27088531799996,360.271611538,360.293511038,360.293511038,360.293511038,363.35336068699996,400,1,[3.0585297249999712],[3.0585469970000077],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,41,1,4,space,0.2954401089999692,None,350,1,[2.3712036709999893],[2.371217637999962],4,1,41,0,363.36681326400003,,363.353922547,363.36681326400003,364.359638486,364.359638486,364.378885532,364.67321029100003,space,0.2954401089999692,None,364.674000748,364.7764244896666,365.108861565,365.08445920500003,365.08533700600003,365.108861565,365.108861565,365.108861565,367.48132258299995,350,1,[2.3712036709999893],[2.371217637999962],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,42,2,4,space,0.2914336759999969,None,400,1,[1.0632088980000844],[1.0632186990000037],4,2,42,1,367.49460636899994,,367.481615543,367.49460636899994,368.49074755799995,368.49074755799995,368.509574006,368.78853492999997,space,0.2914336759999969,None,368.789257388,369.1915771726666,369.51187764299993,369.48754049499996,369.48836263199996,369.51187764299993,369.51187764299993,369.51187764299993,370.576493025,400,1,[1.0632088980000844],[1.0632186990000037],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,43,3,4,space,0.40434115899995504,None,400,1,[1.490639597999916],[1.4906537479999997],4,3,43,6,370.58938687599994,,370.576792456,370.58938687599994,371.592047159,371.592047159,371.592047159,372.00465608,space,0.40434115899995504,None,372.005611898,372.10821550566664,372.44374609,372.420418715,372.42129431499995,372.44374609,372.44374609,372.44374609,373.93561202800004,400,1,[1.490639597999916],[1.4906537479999997],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,44,4,4,space,0.7935546600000407,None,300,1,[1.7430033089999597],[1.743015641999932],4,4,44,8,373.952652844,,373.93591003899996,373.952652844,374.94327421799994,374.94327421799994,374.961054083,375.740575927,space,0.7935546600000407,None,375.74130539,376.44204431366666,376.778314387,376.750999803,376.75180657199996,376.778314387,376.778314387,376.778314387,378.522386074,300,1,[1.7430033089999597],[1.743015641999932],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,45,5,4,space,0.23657821500000864,None,333 ,1,[4.132814731000053],[4.13283883500003],4,5,45,4,378.536163053,,378.52293881900005,378.536163053,379.527738927,379.527738927,379.54336235799997,379.773639451,space,0.23657821500000864,None,379.77440443399996,380.1769126536666,380.508659158,380.484923276,380.48562645999993,380.508659158,380.508659158,380.508659158,384.64419964599995,333 ,1,[4.132814731000053],[4.13283883500003],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,46,6,4,space,1.1279395699999668,None,400,1,[12.577026277999948],[12.57704357199998],4,6,46,9,384.657743603,,384.64481304000003,384.657743603,385.66008057399995,385.66008057399995,385.66008057399995,386.80379048,space,1.1279395699999668,None,386.804707626,386.9202056506666,387.243397772,387.219579869,387.22047747299996,387.243397772,387.243397772,387.243397772,399.82249547000004,400,1,[12.577026277999948],[12.57704357199998],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
