trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
130,0,130,0,220.32383549999213,,220.3016091999889,5,220.32383549999213,220.32383549999213,0.015040500002214685,222.21465429998352,[0.214375],[-0.35125],[1],[0],[0],[1.898309700016398],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
131,0,131,0,222.25978049999685,,222.21825769997668,10,222.25978049999685,222.25978049999685,0.02858759998343885,223.41511969998828,[-0.10125],[0.126875],[1],[0],[0],[1.1685939000162762],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
132,0,132,0,223.44296570000006,,223.41862989999936,5,223.44296570000006,223.44296570000006,0.015646200015908107,225.18199339997955,[-0.31875],[0.230625],[1],[0],[0],[1.7479494999861345],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
133,0,133,0,225.20859979998204,,225.1856531999947,5,225.20859979998204,225.20859979998204,0.015677299990784377,226.84767599997576,[-0.409375],[0.27625],[1],[0],[0],[1.6466847000119742],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
134,0,134,0,226.87465909999446,,226.85130179999396,5,226.87465909999446,226.87465909999446,0.015069300017785281,228.84849769997527,[-0.091875],[-0.46875],[1],[0],[0],[1.9825181000051089],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
135,0,135,0,228.89269239999703,,228.85211789997993,10,228.89269239999703,228.89269239999703,0.028096800000639632,230.1316013999749,[0.0575],[0.050625],[1],[0],[0],[1.2516977999766823],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
136,0,136,0,230.15906729997369,,230.1353091999772,5,230.15906729997369,230.15906729997369,0.016323800024110824,231.78091219998896,[-0.1725],[-0.0875],[1],[0],[0],[1.6296763999853283],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
137,0,137,0,231.82662039998104,,231.7845225999772,10,231.82662039998104,231.82662039998104,0.028684499993687496,233.66377159999683,[0.19125],[-0.4575],[1],[0],[0],[1.8509115000197198],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
138,0,138,0,233.70904319998226,,233.66749179997714,10,233.70904319998226,233.70904319998226,0.02941859999555163,235.19801209997968,[-0.501875],[-0.1],[1],[0],[0],[1.5012464000028558],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
139,0,139,0,235.2241467999993,,235.2027906999865,5,235.2241467999993,235.2241467999993,0.014053399994736537,236.6979387999745,[-0.2975],[-0.199375],[1],[0],[0],[1.4814766999916174],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
