trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02736950002145022,,0.004247200035024434,5,0.02736950002145022,0.02736950002145022,0.0209498000331223,2.170823200023733,[0.48],[0.114375],[1],[0],[0],[2.1492147999815643],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
1,0,1,0,2.1884843000443652,,2.173600800044369,5,2.1884843000443652,2.1884843000443652,0.009862699953373522,3.755115300009493,[-0.236875],[-0.040625],[1],[0],[0],[1.5713527000043541],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
2,0,2,0,3.7746316000120714,,3.7588564000325277,5,3.7746316000120714,3.7746316000120714,0.010164499981328845,5.670382900047116,[-0.296875],[-0.29625],[1],[0],[0],[1.9015467999852262],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
3,0,3,0,5.688036000006832,,5.673157900047954,5,5.688036000006832,5.688036000006832,0.010061200009658933,7.7385791999986395,[0.428125],[-0.453125],[1],[0],[0],[2.0554146000067703],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
4,0,4,0,7.75767070002621,,7.741979800048284,5,7.75767070002621,7.75767070002621,0.010546699981205165,9.454375600034837,[-0.215],[-0.03],[1],[0],[0],[1.7021591999800876],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
5,0,5,0,9.471963300020434,,9.456542200001422,5,9.471963300020434,9.471963300020434,0.01000969996675849,11.320541699999012,[0.15625],[-0.269375],[1],[0],[0],[1.854056300013326],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
6,0,6,0,11.349991800030693,,11.322789400001056,10,11.349991800030693,11.349991800030693,0.019064699998125434,12.838177199999336,[-0.348125],[-0.1375],[1],[0],[0],[1.496486800024286],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
7,0,7,0,12.869567200017627,,12.840514000039548,10,12.869567200017627,12.869567200017627,0.020802800019737333,14.953931700030807,[0.491875],[-0.024375],[1],[0],[0],[2.092716899991501],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
8,0,8,0,14.983079600031488,,14.956053800007794,10,14.983079600031488,14.983079600031488,0.019209399993997067,16.521721100027207,[-0.4125],[-0.33875],[1],[0],[0],[1.546437999990303],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
9,0,9,0,16.54072069999529,,16.524733400030527,5,16.54072069999529,16.54072069999529,0.010182099998928607,18.088415700010955,[0.15875],[0.40875],[1],[0],[0],[1.5535709999967366],['target'],297215,001,2024-10-05_15h05.19.899,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 15h05.26.315319 +0530,
