trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.047172099992167205,,0.004572399950120598,10,0.047172099992167205,0.047172099992167205,0.029824999975971878,4.849979499995243,[0.23375],[0.07875],[1],[0],[0],[4.819704100023955],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
1,0,1,0,4.881178899959195,,4.853660799970385,10,4.881178899959195,4.881178899959195,0.020149400050286204,6.84175929997582,[-0.331875],[-0.19875],[1],[0],[0],[1.9679714000085369],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
2,0,2,0,6.8598003999795765,,6.8439763999776915,5,6.8598003999795765,6.8598003999795765,0.010486199986189604,8.731839399959426,[0.405625],[-0.119375],[1],[0],[0],[1.8774492999655195],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
3,0,3,0,8.760920399974566,,8.7339850999997,10,8.760920399974566,8.760920399974566,0.019432899949606508,11.514919799985364,[-0.00625],[0.021875],[1],[0],[0],[2.7615238999715075],[],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
4,0,4,0,11.544837599969469,,11.517225199961103,10,11.544837599969469,11.544837599969469,0.02027710003312677,13.18213279999327,[0.27125],[-0.37625],[1],[0],[0],[1.644764800032135],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
5,0,5,0,13.21257879998302,,13.184449699998368,10,13.21257879998302,13.21257879998302,0.020186399982776493,14.814636899973266,[-0.24375],[-0.024375],[1],[0],[0],[1.6099678999744356],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
6,0,6,0,14.834791799949016,,14.81737649999559,5,14.834791799949016,14.834791799949016,0.012167599983513355,16.43097190000117,[-0.501875],[0.390625],[1],[0],[0],[1.60154160001548],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
7,0,7,0,16.46126859996002,,16.433177299972158,10,16.46126859996002,16.46126859996002,0.019926799985114485,17.980459599988535,[-0.031875],[0.044375],[1],[0],[0],[1.5273649000446312],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
8,0,8,0,18.010360699961893,,17.98262539994903,10,18.010360699961893,18.010360699961893,0.020308699982706457,19.615439699962735,[-0.09125],[0.250625],[1],[0],[0],[1.6125783000024967],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
9,0,9,0,19.64625079999678,,19.617794599966146,10,19.64625079999678,19.64625079999678,0.020082300005014986,21.881967999972403,[0.3525],[-0.30875],[1],[0],[0],[2.244139200018253],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
10,0,10,0,21.91203789995052,,21.88417119998485,10,21.91203789995052,21.91203789995052,0.019837999949231744,24.230244799982756,[-0.155625],[0.235625],[1],[0],[0],[2.326296299987007],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
11,0,11,0,24.2598597999895,,24.232470599992666,10,24.2598597999895,24.2598597999895,0.019945700012613088,25.714135099959094,[0.110625],[0.410625],[1],[0],[0],[1.4617735000210814],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
12,0,12,0,25.744195499981288,,25.716357600002084,10,25.744195499981288,25.744195499981288,0.01979450002545491,27.914431099954527,[-0.4425],[0.0225],[1],[0],[0],[2.1783394999802113],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
13,0,13,0,27.93258500000229,,27.916663699958008,5,27.93258500000229,27.93258500000229,0.01093129999935627,29.947935799951665,[-0.200625],[-0.41],[1],[0],[0],[2.0203851999831386],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
14,0,14,0,29.967411099991295,,29.95060649997322,5,29.967411099991295,29.967411099991295,0.011814099969342351,31.730855699977838,[0.325],[-0.449375],[1],[0],[0],[1.768642799986992],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
15,0,15,0,31.760901300003752,,31.73303709999891,10,31.760901300003752,31.760901300003752,0.019909400027245283,33.86321979999775,[-0.435],[0.19875],[1],[0],[0],[2.110385400010273],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
16,0,16,0,33.88105629995698,,33.865376799949445,5,33.88105629995698,33.88105629995698,0.010314099956303835,35.797625199949834,[-0.46625],[-0.32],[1],[0],[0],[1.9219269999885],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
17,0,17,0,35.827623799967114,,35.79985899996245,10,35.827623799967114,35.827623799967114,0.019765700038988143,37.38076249998994,[-0.330625],[0.0575],[1],[0],[0],[1.5612460999982432],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
18,0,18,0,37.39887109998381,,37.38291629997548,5,37.39887109998381,37.39887109998381,0.010226799990050495,39.28104049997637,[0.4],[0.434375],[1],[0],[0],[1.8878879999974743],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
19,0,19,0,39.32196269999258,,39.2835862999782,10,39.32196269999258,39.32196269999258,0.03041900001699105,42.01368969999021,[-0.24875],[-0.30375],[1],[0],[0],[2.6998429999803193],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
20,0,20,0,42.042333299992606,,42.015815899998415,10,42.042333299992606,42.042333299992606,0.019078299985267222,43.73037069995189,[-0.12],[-0.19],[1],[0],[0],[1.6954853999777697],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
21,0,21,0,43.76030329999048,,43.73260599997593,10,43.76030329999048,43.76030329999048,0.019176699977833778,45.46523549995618,[0.24],[-0.0275],[1],[0],[0],[1.7133088000118732],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
22,0,22,0,45.484156099963,,45.46741679997649,5,45.484156099963,45.484156099963,0.010289500001817942,47.09781429998111,[-0.161875],[-0.223125],[1],[0],[0],[1.6203049000469036],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
23,0,23,0,47.1167574999854,,47.09994749998441,5,47.1167574999854,47.1167574999854,0.010075199999846518,48.996983899967745,[-0.34125],[-0.456875],[1],[0],[0],[1.8868361000204459],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
24,0,24,0,49.02940859994851,,48.99993449996691,10,49.02940859994851,49.02940859994851,0.020953300001565367,51.23014579998562,[0.431875],[-0.253125],[1],[0],[0],[2.2094336000154726],['target'],718461,001,2024-10-05_14h53.16.918,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h53.23.690939 +0530,
