trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.06597320002038032,,0.0061107000219635665,10,0.06597320002038032,0.06597320002038032,0.04575610003666952,2.2908305000164546,[-0.25625],[-0.04375],[1],[0],[0],[2.244211599987466],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
1,0,1,0,2.338110200013034,,2.296370299998671,10,2.338110200013034,2.338110200013034,0.028330400004051626,4.0970476000220515,[-0.155625],[-0.033125],[1],[0],[0],[1.7725556999794208],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
2,0,2,0,4.137933799996972,,4.10033410001779,10,4.137933799996972,4.137933799996972,0.02544210001360625,5.878345299977809,[0.02375],[0.026875],[1],[0],[0],[1.7527803999837488],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
3,0,3,0,5.904074100020807,,5.881991099973675,5,5.904074100020807,5.904074100020807,0.015411100001074374,7.646773000014946,[0.365625],[0.09625],[1],[0],[0],[1.7496622999897227],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
4,0,4,0,7.690679799998179,,7.65036999998847,10,7.690679799998179,7.690679799998179,0.028956099995411932,9.462265699985437,[-0.078125],[0.31625],[1],[0],[0],[1.7832170999608934],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
5,0,5,0,9.488047700026073,,9.465980299981311,5,9.488047700026073,9.488047700026073,0.015003300039097667,11.562576500000432,[-0.24],[0.42125],[1],[0],[0],[2.081888100015931],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
6,0,6,0,11.589219700021204,,11.56651699997019,5,11.589219700021204,11.589219700021204,0.01585630001500249,12.995246100006625,[0.1275],[0.33375],[1],[0],[0],[1.413536700012628],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
7,0,7,0,13.0385170999798,,12.998876400000881,10,13.0385170999798,13.0385170999798,0.029150199959985912,14.762174999981653,[-0.48375],[0.254375],[1],[0],[0],[1.7343793000327423],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
8,0,8,0,14.791688799974509,,14.766842300014105,5,14.791688799974509,14.791688799974509,0.018267799983732402,16.74737489997642,[0.453125],[-0.23125],[1],[0],[0],[1.962529300013557],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
9,0,9,0,16.78912530001253,,16.75145679997513,10,16.78912530001253,16.78912530001253,0.027344200003426522,18.312285499996506,[0.124375],[-0.01625],[1],[0],[0],[1.5338993000332266],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
10,0,10,0,18.357948900025804,,18.315961899992544,10,18.357948900025804,18.357948900025804,0.029238399991299957,21.012051499972586,[0.131875],[-0.48],[1],[0],[0],[2.6672548999777064],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
11,0,11,0,21.062924599973485,,21.015706499980297,10,21.062924599973485,21.062924599973485,0.03194750001421198,22.611835399991833,[0.013125],[-0.45],[1],[0],[0],[1.5645293000270613],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
12,0,12,0,22.637885499978438,,22.615549099980853,5,22.637885499978438,22.637885499978438,0.015397200011648238,24.11286429996835,[-0.4625],[0.1275],[1],[0],[0],[1.4822572999983095],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
13,0,13,0,24.140070699970238,,24.116515000001527,5,24.140070699970238,24.140070699970238,0.015916200005449355,25.795351599983405,[0.06625],[0.198125],[1],[0],[0],[1.6632041000411846],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
14,0,14,0,25.840029400016647,,25.798983299988322,10,25.840029400016647,25.840029400016647,0.02941310004098341,27.364286899974104,[-0.250625],[-0.074375],[1],[0],[0],[1.535913499945309],[],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
15,0,15,0,27.39537169999676,,27.368531799991615,5,27.39537169999676,27.39537169999676,0.01759100001072511,29.129445599974133,[-0.223125],[-0.240625],[1],[0],[0],[1.743890600046143],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
16,0,16,0,29.173088299983647,,29.133449500019196,10,29.173088299983647,29.173088299983647,0.028523000015411526,30.579406299977563,[-0.085625],[0.079375],[1],[0],[0],[1.4171999999671243],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
17,0,17,0,30.606302100000903,,30.583205799979623,5,30.606302100000903,30.606302100000903,0.015529699972830713,32.09579739999026,[0.166875],[-0.13375],[1],[0],[0],[1.4973824999760836],['target'],831797,001,2024-10-05_14h25.49.281,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h25.57.949701 +0530,
