trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02584800001932308,,0.003861500008497387,5,0.02584800001932308,0.02584800001932308,0.018277600000146776,2.016475400014315,[0.1775],[-0.475625],[1],[0],[0],[1.997170900052879],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
1,0,1,0,2.0501644000178203,,2.0212478000321425,10,2.0501644000178203,2.0501644000178203,0.020922399999108166,3.3837594999931753,[0.25125],[-0.17125],[1],[0],[0],[1.3418828999856487],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
2,0,2,0,3.4150816000183113,,3.3865101999836043,10,3.4150816000183113,3.4150816000183113,0.02033339999616146,5.033972100005485,[-0.473125],[-0.00625],[1],[0],[0],[1.627241799957119],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
3,0,3,0,5.063763300015125,,5.036229400022421,10,5.063763300015125,5.063763300015125,0.019984300015494227,6.717356599983759,[-0.0975],[0.095625],[1],[0],[0],[1.6612118000048213],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
4,0,4,0,6.750199300004169,,6.720051900018007,10,6.750199300004169,6.750199300004169,0.022118299966678023,8.166134700004477,[-0.39875],[0.05125],[1],[0],[0],[1.4241130000445992],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
5,0,5,0,8.199754100001883,,8.168834600015543,10,8.199754100001883,8.199754100001883,0.022715000028256327,9.94922080001561,[-0.053125],[-0.243125],[1],[0],[0],[1.757805700006429],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
6,0,6,0,9.979435799992643,,9.951429100008681,10,9.979435799992643,9.979435799992643,0.0202609000261873,12.450455099984538,[0.3325],[0.480625],[1],[0],[0],[2.478823999990709],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
7,0,7,0,12.481426200014539,,12.45269930001814,10,12.481426200014539,12.481426200014539,0.020177300029899925,13.81624339998234,[0.1],[0.205],[1],[0],[0],[1.3434689000132494],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
8,0,8,0,13.845913400000427,,13.818452799983788,10,13.845913400000427,13.845913400000427,0.019916100020054728,15.734180900035426,[-0.405],[0.391875],[1],[0],[0],[1.8958474000100978],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
9,0,9,0,15.764040799986105,,15.736360099981539,10,15.764040799986105,15.764040799986105,0.02025190001586452,17.749483500025235,[0.415625],[0.426875],[1],[0],[0],[1.9928138999966905],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
10,0,10,0,17.78111630002968,,17.7532152000349,10,17.78111630002968,17.78111630002968,0.020458300015889108,19.03254540002672,[0.035],[0.206875],[1],[0],[0],[1.2592514000134543],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
11,0,11,0,19.050258500035852,,19.034731100022327,5,19.050258500035852,19.050258500035852,0.010231100022792816,21.000462700030766,[0.500625],[0.181875],[1],[0],[0],[1.9553503000061028],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
12,0,12,0,21.019880200037733,,21.003665300027933,5,21.019880200037733,21.019880200037733,0.010699499980546534,22.916549400018994,[0.326875],[-0.19625],[1],[0],[0],[1.9022988000069745],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
13,0,13,0,22.94801460002782,,22.919428499997593,10,22.94801460002782,22.94801460002782,0.02005950000602752,24.866024799994193,[-0.441875],[0.240625],[1],[0],[0],[1.9266682000015862],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
14,0,14,0,24.89818070002366,,24.86822000000393,10,24.89818070002366,24.89818070002366,0.020003600046038628,27.7177953000064,[0.09375],[-0.4675],[1],[0],[0],[2.829720499983523],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
15,0,15,0,27.74879859999055,,27.720147499989253,10,27.74879859999055,27.74879859999055,0.020093999977689236,29.266047200013418,[-0.1],[-0.089375],[1],[0],[0],[1.5259380000061356],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
16,0,16,0,29.30368070001714,,29.268305100034922,10,29.30368070001714,29.30368070001714,0.02398130000801757,31.11552789999405,[-0.0925],[-0.475625],[1],[0],[0],[1.823246999992989],['target'],292999,001,2024-10-05_14h36.16.451,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-05 14h36.24.601103 +0530,
