thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,down,0,None,None,0,0,0,0,0,0.086117821998414,,0.06566591699993296,0.086117821998414,1.0216206979985145,1.0925647059993935,1.1165263869988848,down,0,None,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
1,0,1,down,1,0.14431882500139182,None,-3,1,0,1,0,1.1289456499998778,,1.1168095220000396,1.1289456499998778,2.127210810998804,2.143118935999155,2.28044798999872,down,1,0.14431882500139182,None,-3,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
2,0,2,up,1,0.04608336899946153,None,0,2,0,2,0,2.292021824998301,,2.2808142179983406,2.292021824998301,3.2867782919984165,3.303677821999372,3.3465454399993178,up,1,0.04608336899946153,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
3,0,3,down,0,0.08627428900035738,None,0,3,0,3,0,3.3577525339987915,,3.346810076998736,3.3577525339987915,4.359065322998504,4.359065322998504,4.450625789999322,down,0,0.08627428900035738,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
4,0,4,down,0,0.3448835250001139,None,0,4,0,4,0,4.463117917999625,,4.450880956999754,4.463117917999625,5.460913012999299,5.476801664999584,5.813849071999357,down,0,0.3448835250001139,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
5,0,5,down,0,0.2717959649999102,None,0,5,0,5,0,5.825127250998776,,5.814111927998965,5.825127250998776,6.824540927998896,6.841674344999774,7.099356278999039,down,0,0.2717959649999102,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
6,0,6,up,1,0.11493172099835647,None,0,6,0,6,0,7.1113932599982945,,7.099619914999494,7.1113932599982945,8.107927686998664,8.125716198999726,8.232061569999132,up,1,0.11493172099835647,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
7,0,7,down,0,0.04116975600118167,None,0,7,0,7,0,8.244515383999897,,8.232314679999035,8.244515383999897,9.24321388899989,9.258624101999885,9.297856635999779,down,0,0.04116975600118167,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
8,0,8,up,1,0.25352877200020885,None,0,8,0,8,0,9.3101754599993,,9.29823549199864,9.3101754599993,10.308728263999,10.308728263999,10.565004107998902,up,1,0.25352877200020885,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
9,0,9,up,0,0.2806655630010937,None,0,9,0,9,0,10.577059204999387,,10.565322300999469,10.577059204999387,11.57504994899864,11.592196839999815,11.864960199998677,up,0,0.2806655630010937,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
10,0,10,down,0,0.09945445400080644,None,0,10,0,10,0,11.876863199999207,,11.865217791999385,11.876863199999207,12.872603796999101,12.89185276599892,12.981173098,down,0,0.09945445400080644,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
11,0,11,up,1,0.1293061040014436,None,0,11,0,11,0,12.993334160999439,,12.981427199998507,12.993334160999439,13.989805510998849,14.008095647999653,14.13304228099878,up,1,0.1293061040014436,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
12,0,12,down,1,0.436403286001223,None,4,12,0,12,0,14.145595451998815,,14.133327486999406,14.145595451998815,15.141187118999369,15.15687914299997,15.591662843999075,down,1,0.436403286001223,None,4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
13,0,13,up,0,0.23285364600087632,None,2,13,0,13,0,15.603918811999392,,15.592086270999062,15.603918811999392,16.604455630998928,16.604455630998928,16.849126152999816,up,0,0.23285364600087632,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
14,0,14,down,1,0.0979097740000725,None,-1,14,0,14,0,16.860509880998507,,16.84941783799877,16.860509880998507,17.855867446998673,17.873287447999246,17.96283910299826,down,1,0.0979097740000725,None,-1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
15,0,15,up,1,0.0036041759994986933,None,0,15,0,15,0,17.974831387999075,,17.96310561899918,17.974831387999075,18.973602195999774,18.994979797998894,18.98296843299977,up,1,0.0036041759994986933,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
16,0,16,up,0,0.1701885239999683,None,0,16,0,16,0,18.994979797998894,,18.983256163999613,18.994979797998894,19.995750878999388,20.011224564999793,20.181251374999192,up,0,0.1701885239999683,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
17,0,17,up,0,0.2813895050003339,None,0,17,0,17,0,20.192723637999734,,20.181534549999924,20.192723637999734,21.19188011999904,21.20898737599964,21.482223435999913,up,0,0.2813895050003339,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
18,0,18,up,0,0.05956161299945961,None,2,18,0,18,0,21.494676099999197,,21.482502563998423,21.494676099999197,22.491613843998493,22.50836344199888,22.562809657998514,up,0,0.05956161299945961,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
19,0,19,up,1,0.17325342600088334,None,0,19,0,19,0,22.574661702999947,,22.563067207998756,22.574661702999947,23.563566860999344,23.57886512499863,23.74872281899843,up,1,0.17325342600088334,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
20,0,20,up,1,0.22795923599915113,None,0,20,0,20,0,23.760129207999853,,23.748984522999308,23.760129207999853,24.755396877999374,24.774182500999814,24.997603881000032,up,1,0.22795923599915113,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
21,0,21,down,0,0.005320178999681957,None,0,21,0,21,0,25.009511079999356,,24.99786775999928,25.009511079999356,26.00633702199957,26.028509784999187,26.016315362998284,down,0,0.005320178999681957,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
22,0,22,up,1,0.0577037310013111,None,0,22,0,22,0,26.028509784999187,,26.016572806998738,26.028509784999187,27.024314439999216,27.040212911999333,27.09872249699947,up,1,0.0577037310013111,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
23,0,23,up,1,0.2787843239984795,None,0,23,0,23,0,27.110698593000052,,27.098980289998508,27.110698593000052,28.10740200699911,28.123734386999786,28.398216276998937,up,1,0.2787843239984795,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
24,0,24,up,1,0.25315427299938165,None,0,24,0,24,0,28.410136952999892,,28.398472784998376,28.410136952999892,29.407714723000026,29.42483632999938,29.664478562999648,up,1,0.25315427299938165,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
