thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0,25,up,0,0.27371603600113303,None,4,25,0,25,0,29.676113948999046,,29.664766165999026,29.676113948999046,30.670689178999964,30.69066993499837,30.947889493998446,up,0,0.27371603600113303,None,4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
26,0,26,up,1,0.2523589029988216,None,0,26,0,26,0,30.959835519999615,,30.94814632699854,30.959835519999615,31.958753175998936,31.97526839099919,32.21617593699921,up,1,0.2523589029988216,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
27,0,27,up,0,0.21285421500033408,None,2,27,0,27,0,32.22822603599889,,32.21646209899882,32.22822603599889,33.224033342999974,33.2413182399996,33.449914125998475,up,0,0.21285421500033408,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
28,0,28,up,0,0.14151750000019092,None,-1,28,0,28,0,33.461884891999944,,33.450194484999884,33.461884891999944,34.45861567299835,34.475352782999835,34.61403669699939,up,0,0.14151750000019092,None,-1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
29,0,29,up,0,0.030423748999965028,None,2,29,0,29,0,34.626287114999286,,34.614432564998424,34.626287114999286,35.621377608998955,35.638142168998456,35.66167703299834,up,0,0.030423748999965028,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
30,0,30,up,0,0.18009825499939325,None,-2,30,0,30,0,35.67375331799849,,35.66197115599971,35.67375331799849,36.67390324899861,36.67390324899861,36.86283704299967,up,0,0.18009825499939325,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
31,0,31,up,0,0.10506098000041675,None,-5,31,0,31,0,36.874729429999206,,36.86311514999943,36.874729429999206,37.873095054999794,37.89091594299862,37.98378851999951,up,0,0.10506098000041675,None,-5,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
32,0,32,up,1,0.15276262700172083,None,0,32,0,32,0,37.99600636499963,,37.98406720899948,37.99600636499963,38.98394499200003,39.00172443199881,39.1472444989995,up,1,0.15276262700172083,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
33,0,33,up,0,0.2415532000013627,None,3,33,0,33,0,39.1595821109986,,39.14768485099921,39.1595821109986,40.14715079599955,40.16348188499978,40.39462360399921,up,0,0.2415532000013627,None,3,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
34,0,34,up,0,0.19025169599990477,None,2,34,0,34,0,40.40582095299942,,40.394919935999496,40.40582095299942,41.40405173599902,41.4229277329996,41.598611895999056,up,0,0.19025169599990477,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
35,0,35,down,0,0.06391185600114113,None,0,35,0,35,0,41.610562094998386,,41.598869356999785,41.610562094998386,42.6040003299986,42.62051068399887,42.67745738799931,down,0,0.06391185600114113,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
36,0,36,down,0,0.17937225100104115,None,0,36,0,36,0,42.6896451349985,,42.677754736998395,42.6896451349985,43.688329753998914,43.70535362599912,43.87980233300004,down,0,0.17937225100104115,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
37,0,37,up,0,0.14567878500020015,None,-2,37,0,37,0,43.8929845219991,,43.88017146299899,43.8929845219991,44.886483795999084,44.90316891999828,45.037604400999044,up,0,0.14567878500020015,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
38,0,38,down,1,0.1332987250007136,None,3,38,0,38,0,45.048681938998925,,45.037889089999226,45.048681938998925,46.0388020349983,46.056646525999895,46.181242761998874,down,1,0.1332987250007136,None,3,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
39,0,39,down,0,0.4323755749992415,None,0,39,0,39,0,46.19414712899925,,46.18159883299995,46.19414712899925,47.19000491099905,47.20631086399953,47.631513419999465,down,0,0.4323755749992415,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
40,0,40,down,1,0.05759037899952091,None,-2,40,0,40,0,47.64444011999876,,47.63185640699885,47.64444011999876,48.639905808999174,48.6574002419984,48.70137142799831,down,1,0.05759037899952091,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
41,0,41,down,0,0.13413654199939629,None,0,41,0,41,0,48.71379433599941,,48.70165390999864,48.71379433599941,49.70299060999969,49.719845527999496,49.85272985299889,down,0,0.13413654199939629,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
42,0,42,up,0,0.29983157600145205,None,-2,42,0,42,0,49.86471919499854,,49.85301150599844,49.86471919499854,50.855871459998525,50.87261176499851,51.16445068199937,up,0,0.29983157600145205,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
43,0,43,up,1,0.16893456000070728,None,0,43,0,43,0,51.17665733600006,,51.16470922899862,51.17665733600006,52.177907957999196,52.19802032199914,52.34986936799942,up,1,0.16893456000070728,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
44,0,44,down,1,0.3493204019996483,None,3,44,0,44,0,52.36186890599856,,52.35016804799852,52.36186890599856,53.355034867998256,53.37209893799991,53.71417319699867,down,1,0.3493204019996483,None,3,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
45,0,45,down,0,0.08861982599955809,None,0,45,0,45,0,53.72597897999913,,53.71442724999906,53.72597897999913,54.725870708,54.74265201199887,54.8176724519999,down,0,0.08861982599955809,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
46,0,46,down,0,0.09582960700026888,None,0,46,0,46,0,54.8297941689998,,54.81793625999853,54.8297941689998,55.830970215998605,55.85106073699899,55.93685551699855,down,0,0.09582960700026888,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
47,0,47,down,1,0.08734678600012558,None,-4,47,0,47,0,55.950597646999086,,55.937276490998556,55.950597646999086,56.94058004999897,56.95694070799982,57.032376115999796,down,1,0.08734678600012558,None,-4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
48,0,48,down,0,0.050394209998557926,None,0,48,0,48,0,57.04452109699923,,57.0326335439986,57.04452109699923,58.038517087999935,58.056091127999025,58.09754133799834,down,0,0.050394209998557926,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
49,0,49,down,1,0.06057057500038354,None,-2,49,0,49,0,58.10938261299998,,58.097823941998286,58.10938261299998,59.107542591998936,59.124577482998575,59.18842966400007,down,1,0.06057057500038354,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
50,0,50,down,0,0.17939054000089527,None,0,50,0,50,0,59.200627847998476,,59.188822443999015,59.200627847998476,60.19218474599984,60.20894480199968,60.38474244899953,down,0,0.17939054000089527,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
51,0,51,down,1,0.048667696999473264,None,-4,51,0,51,0,60.39714287099923,,60.38504256199849,60.39714287099923,61.38975523699992,61.40682350699899,61.44723522200002,down,1,0.048667696999473264,None,-4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
52,0,52,down,1,0.02115103300093324,None,4,52,0,52,0,61.45949199200004,,61.44751900299889,61.45949199200004,62.456019478999224,62.47342202999971,62.48209382799905,down,1,0.02115103300093324,None,4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
53,0,53,up,0,0.26713548299994727,None,-5,53,0,53,0,62.49410476899902,,62.482373540999106,62.49410476899902,63.49388527899828,63.512268212998606,63.767713661000016,up,0,0.26713548299994727,None,-5,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
54,0,54,up,1,0.0635208869989583,None,0,54,0,54,0,63.7791453159989,,63.76793686199926,63.7791453159989,64.76970930299831,64.7864182029989,64.84069567000006,up,1,0.0635208869989583,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
55,0,55,up,0,0.05228005299977667,None,1,55,0,55,0,64.85393786599889,,64.84110434299873,64.85393786599889,65.854412056,65.854412056,65.91436486899875,up,0,0.05228005299977667,None,1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
56,0,56,up,1,None,None,0,56,0,56,0,65.92667791299937,,65.91465248999884,65.92667791299937,66.93322295199869,66.93322295199869,67.08412771499934,up,1,None,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
57,0,57,up,1,0.023456224000256043,None,0,57,0,57,0,67.09912964999967,,67.08450960299888,67.09912964999967,68.09820192699954,68.11704046499835,68.12450723899929,up,1,0.023456224000256043,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
58,0,58,up,0,0.13147091599967098,None,-3,58,0,58,0,68.14011929999833,,68.12495031599974,68.14011929999833,69.14058455899976,69.15660146499977,69.28021297899977,up,0,0.13147091599967098,None,-3,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
59,0,59,up,1,0.08072894399992947,None,0,59,0,59,0,69.29409508999925,,69.28061073799836,69.29409508999925,70.2936770489996,70.30931734899968,70.38392519099943,up,1,0.08072894399992947,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
60,0,60,up,0,0.12423046199910459,None,-1,60,0,60,0,70.39707022799848,,70.38422771999831,70.39707022799848,71.3900663989989,71.40662548799992,71.53049656199983,up,0,0.12423046199910459,None,-1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
61,0,61,up,1,0.10006301799876383,None,0,61,0,61,0,71.54431994199876,,71.53080937699997,71.54431994199876,72.54353220599842,72.55929300799835,72.64862746299877,up,1,0.10006301799876383,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
62,0,62,up,0,0.18870454599891673,None,1,62,0,62,0,72.66059744999984,,72.6488983599993,72.66059744999984,73.6566263929999,73.67724848599937,73.85072935699827,up,0,0.18870454599891673,None,1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
63,0,63,up,0,0.08137058800093655,None,0,63,0,63,0,73.86266306199832,,73.85100852399955,73.86266306199832,74.85842289799984,74.87512540899843,74.94718146699961,up,0,0.08137058800093655,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
64,0,64,up,1,0.13442111799849954,None,0,64,0,64,0,74.95883546299956,,74.94743839299917,74.95883546299956,75.95973283999956,75.95973283999956,76.09950104399832,up,1,0.13442111799849954,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
65,0,65,down,0,0.41284447699945304,None,0,65,0,65,0,76.11178505299904,,76.09975710399885,76.11178505299904,77.1073583949983,77.1250066699995,77.52994152799874,down,0,0.41284447699945304,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
66,0,66,down,1,0.21845714200026123,None,-4,66,0,66,0,77.54193130799831,,77.5302166929996,77.54193130799831,78.54144319399893,78.54144319399893,78.76426750599967,down,1,0.21845714200026123,None,-4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
67,0,67,down,1,0.2148069109989592,None,2,67,0,67,0,78.77634919799857,,78.76455263599928,78.77634919799857,79.77207189899855,79.79101982199973,79.99251760099833,down,1,0.2148069109989592,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
68,0,68,down,0,0.10038487699966936,None,0,68,0,68,0,80.00418598299984,,79.99282716499874,80.00418598299984,80.99614314599967,81.01106971399895,81.10659611699884,down,0,0.10038487699966936,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
69,0,69,down,1,None,None,-1,69,0,69,0,81.1188092809989,,81.10697304299902,81.1188092809989,82.10584965999988,82.1230615479999,82.20954343399899,down,1,None,None,-1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
70,0,70,down,1,0.015685807000409113,None,2,70,0,70,0,82.22035733399935,,82.20988772599958,82.22035733399935,83.2232126229992,83.2232126229992,83.24684029899981,down,1,0.015685807000409113,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
71,0,71,up,1,0.1700209829996311,None,0,71,0,71,0,83.25888103499892,,83.2470876009993,83.25888103499892,84.24503063999873,84.2633695609984,84.42769129099906,up,1,0.1700209829996311,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
72,0,72,down,1,0.11962756799948693,None,0,72,0,72,0,84.43882773799851,,84.42798558999857,84.43882773799851,85.44070064900006,85.44070064900006,85.56541400099923,down,1,0.11962756799948693,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
73,0,73,up,1,0.2728070899993327,None,0,73,0,73,0,85.57742834300007,,85.56569976799983,85.57742834300007,86.57923625099829,86.57923625099829,86.85672987399994,up,1,0.2728070899993327,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
74,0,74,up,1,0.01193720399896847,None,0,74,0,74,0,86.86963304399978,,86.85698372299885,86.86963304399978,87.87294225099868,87.87294225099868,87.89770120299909,up,1,0.01193720399896847,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
75,0,75,down,0,0.22591306200047256,None,0,75,0,75,0,87.90967293499853,,87.89795356199829,87.90967293499853,88.90839654899901,88.92432863699833,89.14714888299932,down,0,0.22591306200047256,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
76,0,76,down,1,0.029403500999251264,None,0,76,0,76,0,89.15925540899843,,89.14744033899842,89.15925540899843,90.15739744599887,90.17463946799944,90.19746991399916,down,1,0.029403500999251264,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
77,0,77,down,1,0.005324141999153653,None,-1,77,0,77,0,90.20938943999863,,90.19774493599834,90.20938943999863,91.20724024399897,91.22810970899991,91.2160187599984,down,1,0.005324141999153653,None,-1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
78,0,78,down,1,0.09812639099982334,None,-2,78,0,78,0,91.22810970899991,,91.2163199029983,91.22810970899991,92.22423306799828,92.24193631399976,92.32846356399932,down,1,0.09812639099982334,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
79,0,79,down,0,0.030379963000086718,None,0,79,0,79,0,92.33977664799932,,92.32872020099967,92.33977664799932,93.33928285199909,93.33928285199909,93.38057602499975,down,0,0.030379963000086718,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
80,0,80,down,0,0.06699769700026081,None,0,80,0,80,0,93.3925265479993,,93.38083505599934,93.3925265479993,94.38603157999933,94.40196901299896,94.45723230199837,down,0,0.06699769700026081,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
81,0,81,down,0,0.011088892999396194,None,0,81,0,81,0,94.469751188999,,94.45759637599986,94.469751188999,95.45764393799982,95.47487349699986,95.48141293799927,down,0,0.011088892999396194,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
82,0,82,down,0,0.04217517300094187,None,0,82,0,82,0,95.49329769399992,,95.4816616199987,95.49329769399992,96.48563936799837,96.50236155399944,96.54139260099873,down,0,0.04217517300094187,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
83,0,83,down,1,0.0161823930011451,None,0,83,0,83,0,96.55401617799907,,96.54179433699937,96.55401617799907,97.55530840899883,97.55530840899883,97.58069152999997,down,1,0.0161823930011451,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
84,0,84,up,1,0.24875349500143784,None,0,84,0,84,0,97.59253425099996,,97.58094457999869,97.59253425099996,98.59009388999948,98.6072247409993,98.84917339499953,up,1,0.24875349500143784,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
85,0,85,up,0,0.09384626700011722,None,-4,85,0,85,0,98.8617699009992,,98.84947265699884,98.8617699009992,99.85720097099875,99.87400401399827,99.96429877999981,up,0,0.09384626700011722,None,-4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
86,0,86,up,1,0.16125695099981385,None,0,86,0,86,0,99.97614496099959,,99.96455751199937,99.97614496099959,100.97541977299989,100.99109551499896,101.14525162499922,up,1,0.16125695099981385,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
87,0,87,down,0,0.3872339209992788,None,0,87,0,87,0,101.15738434800005,,101.1455103649987,101.15738434800005,102.15683103799893,102.15683103799893,102.54859215099896,down,0,0.3872339209992788,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
88,0,88,down,1,0.05433246900065569,None,-1,88,0,88,0,102.56079895699986,,102.54887463499836,102.56079895699986,103.55685994199848,103.57399673500004,103.61530303099971,down,1,0.05433246900065569,None,-1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
