58.9581 	EXP 	Created textBlank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textBlank', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
58.9584 	EXP 	window1: mouseVisible = False
58.9674 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0604 	INFO 	Keyboard events cleared
0.0579 	EXP 	welcome: autoDraw = True
4.5849 	DATA 	Keypress: space
4.5982 	EXP 	welcome: autoDraw = False
4.5982 	EXP 	textBlank: autoDraw = True
5.0945 	INFO 	Keyboard events cleared
5.0924 	EXP 	textBlank: autoDraw = False
5.0924 	EXP 	textinstructions: autoDraw = True
10.7846 	DATA 	Keypress: space
10.8149 	EXP 	Imported /Users/shrutigupta/Downloads/Word_stimuli.xlsx as conditions, 6 conditions, 2 params
10.8160 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'WordItem': 'anxiety', 'WordColor': 'blue', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
10.8355 	EXP 	textinstructions: autoDraw = False
10.8355 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
10.8355 	EXP 	textStudyTrials: height = 0.05
10.8355 	EXP 	textStudyTrials: height = 0.05
10.8355 	EXP 	textStudyTrials: height = 0.05
10.8355 	EXP 	textStudyTrials: text = 'anxiety'
10.8355 	EXP 	textStudyTrials: autoDraw = True
12.8123 	EXP 	textStudyTrials: autoDraw = False
12.8123 	EXP 	textBlank: autoDraw = True
13.3057 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'WordItem': 'psychology', 'WordColor': 'red', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
13.3268 	EXP 	textBlank: autoDraw = False
13.3268 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: red, alpha=1.0>
13.3268 	EXP 	textStudyTrials: height = 0.05
13.3268 	EXP 	textStudyTrials: height = 0.05
13.3268 	EXP 	textStudyTrials: height = 0.05
13.3268 	EXP 	textStudyTrials: text = 'psychology'
13.3268 	EXP 	textStudyTrials: autoDraw = True
15.3114 	EXP 	textStudyTrials: autoDraw = False
15.3114 	EXP 	textBlank: autoDraw = True
15.7993 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'WordItem': 'bottle', 'WordColor': 'red', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
15.8150 	EXP 	textBlank: autoDraw = False
15.8150 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: red, alpha=1.0>
15.8150 	EXP 	textStudyTrials: height = 0.05
15.8150 	EXP 	textStudyTrials: height = 0.05
15.8150 	EXP 	textStudyTrials: height = 0.05
15.8150 	EXP 	textStudyTrials: text = 'bottle'
15.8150 	EXP 	textStudyTrials: autoDraw = True
17.8185 	EXP 	textStudyTrials: autoDraw = False
17.8185 	EXP 	textBlank: autoDraw = True
18.3003 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'WordItem': 'croissant', 'WordColor': 'red', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
18.3163 	EXP 	textBlank: autoDraw = False
18.3163 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: red, alpha=1.0>
18.3163 	EXP 	textStudyTrials: height = 0.05
18.3163 	EXP 	textStudyTrials: height = 0.05
18.3163 	EXP 	textStudyTrials: height = 0.05
18.3163 	EXP 	textStudyTrials: text = 'croissant'
18.3163 	EXP 	textStudyTrials: autoDraw = True
20.3148 	EXP 	textStudyTrials: autoDraw = False
20.3148 	EXP 	textBlank: autoDraw = True
20.7992 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'WordItem': 'sad', 'WordColor': 'blue', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
20.8142 	EXP 	textBlank: autoDraw = False
20.8142 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
20.8142 	EXP 	textStudyTrials: height = 0.05
20.8142 	EXP 	textStudyTrials: height = 0.05
20.8142 	EXP 	textStudyTrials: height = 0.05
20.8142 	EXP 	textStudyTrials: text = 'sad'
20.8142 	EXP 	textStudyTrials: autoDraw = True
22.8199 	EXP 	textStudyTrials: autoDraw = False
22.8199 	EXP 	textBlank: autoDraw = True
23.3084 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'WordItem': 'excitement', 'WordColor': 'blue', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
23.3278 	EXP 	textBlank: autoDraw = False
23.3278 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
23.3278 	EXP 	textStudyTrials: height = 0.05
23.3278 	EXP 	textStudyTrials: height = 0.05
23.3278 	EXP 	textStudyTrials: height = 0.05
23.3278 	EXP 	textStudyTrials: text = 'excitement'
23.3278 	EXP 	textStudyTrials: autoDraw = True
25.3215 	EXP 	textStudyTrials: autoDraw = False
25.3215 	EXP 	textBlank: autoDraw = True
25.8241 	INFO 	Keyboard events cleared
25.8221 	EXP 	textBlank: autoDraw = False
25.8221 	EXP 	textWaitScreen: autoDraw = True
29.3736 	DATA 	Keypress: space
36.2258 	DATA 	Keypress: 1
36.2352 	EXP 	textWaitScreen: autoDraw = False
36.2352 	EXP 	Blank: autoDraw = True
36.7381 	INFO 	Keyboard events cleared
36.7362 	EXP 	Blank: autoDraw = False
36.7362 	EXP 	textY_N_Screen: autoDraw = True
41.2912 	DATA 	Keypress: space
41.3009 	EXP 	textY_N_Screen: autoDraw = False
41.3009 	EXP 	textBlank: autoDraw = True
41.8010 	EXP 	Imported /Users/shrutigupta/Downloads/Word_stimuli.xlsx as conditions, 11 conditions, 2 params
41.8015 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'WordItem': 'depression', 'WordColor': None, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
41.8197 	INFO 	Keyboard events cleared
41.8175 	EXP 	textBlank: autoDraw = False
41.8175 	EXP 	textTestTrials: height = 0.05
41.8175 	EXP 	textTestTrials: height = 0.05
41.8175 	EXP 	textTestTrials: height = 0.05
41.8175 	EXP 	textTestTrials: text = 'depression'
41.8175 	EXP 	textTestTrials: autoDraw = True
44.4668 	DATA 	Keypress: y
44.4771 	EXP 	textTestTrials: autoDraw = False
44.4771 	EXP 	textBlank: autoDraw = True
44.9726 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'WordItem': 'croissant', 'WordColor': 'red', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
44.9910 	INFO 	Keyboard events cleared
44.9893 	EXP 	textBlank: autoDraw = False
44.9893 	EXP 	textTestTrials: height = 0.05
44.9893 	EXP 	textTestTrials: height = 0.05
44.9893 	EXP 	textTestTrials: height = 0.05
44.9893 	EXP 	textTestTrials: text = 'croissant'
44.9893 	EXP 	textTestTrials: autoDraw = True
46.8036 	DATA 	Keypress: y
46.8144 	EXP 	textTestTrials: autoDraw = False
46.8144 	EXP 	textBlank: autoDraw = True
47.2995 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'WordItem': 'television', 'WordColor': None, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
47.3190 	INFO 	Keyboard events cleared
47.3160 	EXP 	textBlank: autoDraw = False
47.3160 	EXP 	textBlank: autoDraw = False
47.3160 	EXP 	textTestTrials: height = 0.05
47.3160 	EXP 	textTestTrials: height = 0.05
47.3160 	EXP 	textTestTrials: height = 0.05
47.3160 	EXP 	textTestTrials: text = 'television'
47.3160 	EXP 	textTestTrials: autoDraw = True
49.6628 	DATA 	Keypress: y
49.6730 	EXP 	textTestTrials: autoDraw = False
49.6730 	EXP 	textBlank: autoDraw = True
50.1640 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'WordItem': 'couch', 'WordColor': None, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
50.1852 	INFO 	Keyboard events cleared
50.1833 	EXP 	textBlank: autoDraw = False
50.1833 	EXP 	textTestTrials: height = 0.05
50.1833 	EXP 	textTestTrials: height = 0.05
50.1833 	EXP 	textTestTrials: height = 0.05
50.1833 	EXP 	textTestTrials: text = 'couch'
50.1833 	EXP 	textTestTrials: autoDraw = True
53.2206 	DATA 	Keypress: n
53.2308 	EXP 	textTestTrials: autoDraw = False
53.2308 	EXP 	textBlank: autoDraw = True
53.7243 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'WordItem': 'excitement', 'WordColor': 'blue', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
53.7433 	INFO 	Keyboard events cleared
53.7413 	EXP 	textBlank: autoDraw = False
53.7413 	EXP 	textTestTrials: height = 0.05
53.7413 	EXP 	textTestTrials: height = 0.05
53.7413 	EXP 	textTestTrials: height = 0.05
53.7413 	EXP 	textTestTrials: text = 'excitement'
53.7413 	EXP 	textTestTrials: autoDraw = True
55.0437 	DATA 	Keypress: y
55.0545 	EXP 	textTestTrials: autoDraw = False
55.0545 	EXP 	textBlank: autoDraw = True
55.5463 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'WordItem': 'fascinated', 'WordColor': None, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
55.5701 	INFO 	Keyboard events cleared
55.5668 	EXP 	textBlank: autoDraw = False
55.5668 	EXP 	textTestTrials: height = 0.05
55.5668 	EXP 	textTestTrials: height = 0.05
55.5668 	EXP 	textTestTrials: height = 0.05
55.5668 	EXP 	textTestTrials: text = 'fascinated'
55.5668 	EXP 	textTestTrials: autoDraw = True
56.5649 	DATA 	Keypress: n
56.5770 	EXP 	textTestTrials: autoDraw = False
56.5770 	EXP 	textBlank: autoDraw = True
57.0732 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'WordItem': 'anxiety', 'WordColor': 'blue', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
57.0914 	INFO 	Keyboard events cleared
57.0895 	EXP 	textBlank: autoDraw = False
57.0895 	EXP 	textTestTrials: height = 0.05
57.0895 	EXP 	textTestTrials: height = 0.05
57.0895 	EXP 	textTestTrials: height = 0.05
57.0895 	EXP 	textTestTrials: text = 'anxiety'
57.0895 	EXP 	textTestTrials: autoDraw = True
58.3540 	DATA 	Keypress: y
58.3798 	EXP 	textTestTrials: autoDraw = False
58.3798 	EXP 	textBlank: autoDraw = True
58.8763 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'WordItem': 'bottle', 'WordColor': 'red', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
58.8962 	INFO 	Keyboard events cleared
58.8938 	EXP 	textBlank: autoDraw = False
58.8938 	EXP 	textTestTrials: height = 0.05
58.8938 	EXP 	textTestTrials: height = 0.05
58.8938 	EXP 	textTestTrials: height = 0.05
58.8938 	EXP 	textTestTrials: text = 'bottle'
58.8938 	EXP 	textTestTrials: autoDraw = True
59.8507 	DATA 	Keypress: n
59.8612 	EXP 	textTestTrials: autoDraw = False
59.8612 	EXP 	textBlank: autoDraw = True
60.3541 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'WordItem': 'sad', 'WordColor': 'blue', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
60.3735 	INFO 	Keyboard events cleared
60.3716 	EXP 	textBlank: autoDraw = False
60.3716 	EXP 	textTestTrials: height = 0.05
60.3716 	EXP 	textTestTrials: height = 0.05
60.3716 	EXP 	textTestTrials: height = 0.05
60.3716 	EXP 	textTestTrials: text = 'sad'
60.3716 	EXP 	textTestTrials: autoDraw = True
61.2674 	DATA 	Keypress: y
61.2778 	EXP 	textTestTrials: autoDraw = False
61.2778 	EXP 	textBlank: autoDraw = True
61.7734 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'WordItem': 'psychology', 'WordColor': 'red', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
61.8013 	INFO 	Keyboard events cleared
61.7980 	EXP 	textBlank: autoDraw = False
